Grupo,Test,Res,VGRESULT,VGCUTIN,X6,Erro,Code,TEST.WORKED
GrupoC,kal24,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal25,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal26,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal27,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal28,10, 350 0 0 17201 0 ,17551,NA,ERR_UNDECLARED,10,TRUE
GrupoC,kal29,11, 392 50 0 16796 0 ,17238,NA,ERR_DECLARED,11,TRUE
GrupoC,kal30,11, 592 50 0 17040 0 ,17682,NA,0,0,FALSE
GrupoC,kal31,11, 496 0 0 17186 0 ,17682,NA,ERR_DECLARED,11,TRUE
GrupoC,kal32,1,-1,-1,Erro sintatico na linha 3 ,0,0,FALSE
GrupoC,kal33,1,-1,-1,Erro sintatico na linha 4 ,ERR_DECLARED,11,FALSE
GrupoC,kal34,11, 592 50 0 17040 0 ,17682,NA,0,0,FALSE
GrupoC,kal35,11, 592 50 0 17040 0 ,17682,NA,0,0,FALSE
GrupoC,kal36,11, 592 50 0 17040 0 ,17682,NA,ERR_DECLARED,11,TRUE
GrupoC,kal37,1,-1,-1,Erro sintatico na linha 3 ,ERR_UNDECLARED,10,FALSE
GrupoC,kal38,1,-1,-1,Erro sintatico na linha 3 ,ERR_UNDECLARED,10,FALSE
GrupoC,kal39,1,-1,-1,Erro sintatico na linha 2 ,0,0,FALSE
GrupoC,kal40,11, 592 50 0 17040 0 ,17682,NA,0,0,FALSE
GrupoC,kal41,1,-1,-1,Erro sintatico na linha 3 ,0,0,FALSE
GrupoC,kal42,1,-1,-1,Erro sintatico na linha 3 ,0,0,FALSE
GrupoC,kal43,1,-1,-1,Erro sintatico na linha 3 ,ERR_UNDECLARED,10,FALSE
GrupoC,kal44,1,-1,-1,Erro sintatico na linha 3 ,0,0,FALSE
GrupoC,kal45,1,-1,-1,Erro sintatico na linha 3 ,ERR_UNDECLARED,10,FALSE
GrupoC,kal46,20, 982 100 0 17393 0 ,18475,NA,ERR_VARIABLE,20,TRUE
GrupoC,kal47,0, 1416 507 0 297 0 ,2220,NA,ERR_VARIABLE,20,FALSE
GrupoC,kal48,21, 886 51 0 17346 0 ,18283,NA,ERR_VECTOR,21,TRUE
GrupoC,kal49,0, 1660 509 0 353 0 ,2522,NA,ERR_VECTOR,21,FALSE
GrupoC,kal50,22, 1082 53 0 17538 0 ,18673,NA,ERR_FUNCTION,22,TRUE
GrupoC,kal51,22, 1374 103 0 17690 0 ,19167,NA,ERR_FUNCTION,22,TRUE
GrupoC,kal52,30, 904 50 0 17435 0 ,18389,NA,ERR_STRING_TO_X,31,FALSE
GrupoC,kal53,30, 904 50 0 17435 0 ,18389,NA,ERR_STRING_TO_X,31,FALSE
GrupoC,kal54,30, 952 50 0 17383 0 ,18385,NA,ERR_STRING_TO_X,31,FALSE
GrupoC,kal55,32, 952 50 0 17380 0 ,18382,NA,ERR_STRING_TO_X,31,FALSE
GrupoC,kal56,30, 885 50 0 17435 0 ,18370,NA,ERR_CHAR_TO_X,32,FALSE
GrupoC,kal57,30, 885 50 0 17435 0 ,18370,NA,ERR_CHAR_TO_X,32,FALSE
GrupoC,kal58,30, 933 50 0 17383 0 ,18366,NA,ERR_CHAR_TO_X,32,FALSE
GrupoC,kal59,32, 952 50 0 17380 0 ,18382,NA,ERR_CHAR_TO_X,32,TRUE
GrupoC,kal60,30, 1218 148 0 17428 0 ,18794,NA,ERR_STRING_SIZE,33,FALSE
GrupoC,kal61,30, 1212 148 0 17428 0 ,18788,NA,0,0,FALSE
