GrupoA
GrupoB |DEBUG local.tests/e4/input/2020_1/mao06 0 " 138 10 0 0 0 " 148 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao07 0 " 166 12 0 0 0 " 178 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao08 31 " 2 0 0 18171 0 " 18173 ""
GrupoB |DEBUG local.tests/e4/input/2020_1/mao09 31 " 0 0 0 18013 0 " 18013 ""
GrupoC
GrupoC |DEBUG local.tests/e4/input/2020_1/kal00 30 " 1686 246 0 17622 0 " 19554 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal01 0 " 1462 346 0 353 0 " 2161 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal02 0 " 1462 346 0 353 0 " 2161 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal03 0 " 1510 350 0 297 0 " 2157 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal04 0 " 1510 347 0 297 0 " 2154 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal05 0 " 1513 347 0 297 0 " 2157 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal06 10 " 446 0 0 17145 0 " 17591 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal07 10 " 446 0 0 17145 0 " 17591 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal08 10 " 494 0 0 17093 0 " 17587 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal09 10 " 494 0 0 17090 0 " 17584 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal10 10 " 497 0 0 17090 0 " 17587 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal11 0 " 2046 446 0 465 0 " 2957 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal12 0 " 2046 446 0 465 0 " 2957 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal13 0 " 2094 450 0 409 0 " 2953 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal14 0 " 2094 447 0 409 0 " 2950 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal15 10 " 738 50 0 17297 0 " 18085 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal16 10 " 738 50 0 17297 0 " 18085 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal17 10 " 786 50 0 17245 0 " 18081 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal18 10 " 786 50 0 17242 0 " 18078 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal19 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal20 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal21 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal22 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal23 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal24 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal25 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal26 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal27 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal28 10 " 350 0 0 17201 0 " 17551 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal29 11 " 392 50 0 16796 0 " 17238 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal30 11 " 592 50 0 17040 0 " 17682 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal31 11 " 496 0 0 17186 0 " 17682 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal32 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal33 1 "-1" -1 "Erro sintatico na linha 4 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal34 11 " 592 50 0 17040 0 " 17682 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal35 11 " 592 50 0 17040 0 " 17682 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal36 11 " 592 50 0 17040 0 " 17682 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal37 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal38 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal39 1 "-1" -1 "Erro sintatico na linha 2 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal40 11 " 592 50 0 17040 0 " 17682 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal41 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal42 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal43 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal44 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal45 1 "-1" -1 "Erro sintatico na linha 3 "
GrupoC |DEBUG local.tests/e4/input/2020_1/kal46 20 " 982 100 0 17393 0 " 18475 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal47 0 " 1416 507 0 297 0 " 2220 ""
GrupoC |DEBUG local.tests/e4/input/2020_1/kal48 21 " 886 51 0 17346 0 " 18283 ""
